, Force (Kg f), Efficiency (g/W)
0,-3.5168499733333336,12.131518247445527
1,-3.4971943199999997,12.108560072017173
2,-3.4926584,12.187376648754274
3,-3.4518351199999997,12.38993223259153
4,-3.4019399999999997,12.493352919573999
5,-3.3565807999999997,12.645346594333935
6,-3.29307792,12.790639011885338
7,-3.24771872,12.887772698412698
8,-3.1887517599999997,13.112722098856812
9,-3.1388566399999998,13.219578167115904
10,-3.09803336,13.378965969942994
11,-3.0572100799999995,13.614223726398286
12,-3.00277904,13.713824625502374
13,-2.93927616,13.821481049562681
14,-2.8848451199999996,14.008182577449741
15,-2.84855776,14.19877260492473
16,-2.7805189599999998,14.257609270844016
17,-2.76237528,14.540347826086954
18,-2.6898005599999997,14.66630621592148
19,-2.64444136,14.873123509561305
20,-2.5945462399999997,14.945542857142856
21,-2.5265074399999996,15.16511068427371
22,-2.49022008,15.333867487684726
23,-2.45393272,15.511584829329959
24,-2.4085735199999996,15.640087792207792
25,-2.34960656,15.83292830188679
26,-2.3359987999999996,16.10589354660783
27,-2.2588881599999997,16.248656020716442
28,-2.20445712,16.28347702762594
29,-2.1772416,16.66851630684428
30,-2.11827464,16.811703492063494
31,-2.0547717599999995,16.870047290640393
32,-2.02755624,17.241124489795915
33,-1.9867329599999999,17.73868714285714
34,-1.90962232,17.714492764378477
35,-1.8914786399999999,18.25751583011583
36,-1.81890392,18.454788149350648
37,-1.76447288,18.53437899159664
38,-1.71911368,18.89135912087912
39,-1.6828263200000002,19.109996820349764
40,-1.6329312,19.439657142857143
41,-1.57850016,19.54072988363456
42,-1.5648924,20.32327792207792
43,-1.5195332,20.325484216158376
44,-1.47870992,20.71022296918768
45,-1.44242256,21.026567930029152
46,-1.4015992800000001,21.300900911854107
47,-1.36984784,21.743616507936505
48,-1.3244886400000002,22.052757908757908
49,-1.28366536,22.363508013937285
50,-1.23830616,22.679599999999997
51,-1.1929469600000002,23.029864092664095
52,-1.16573144,23.790437551020407
53,-1.12490816,24.348661471861472
54,-1.0886208000000002,24.29957142857143
55,-1.0523334400000002,25.055558095238098
56,-1.0160460800000002,25.025765517241382
57,-0.9842946400000001,26.039540740740744
58,-0.9525432,27.215519999999998
59,-0.91625584,28.455150310559006
60,-0.8845044,28.71767532467532
61,-0.84821704,30.29346571428571
62,-0.80739376,30.35314887218045
63,-0.7665704799999999,32.20884369747899
64,-0.7393549599999999,33.00691785714285
65,-0.7030676,33.47940952380952
66,-0.680388,34.71367346938776
67,-0.6486365599999999,35.63937142857142
68,-0.62142104,36.989347619047614
69,-0.58513368,37.9956935064935
70,-0.54884632,39.20330857142857
71,-0.5170948799999999,41.039276190476194
72,-0.48987936000000004,43.73922857142857
73,-0.46266384,41.30927142857142
74,-0.42637647999999995,43.507804081632656
75,-0.39916096,47.5191619047619
76,-0.37194543999999996,53.13506285714285
77,-0.34926584,49.89512
78,-0.3175144,56.69899999999999
79,-0.28576296,51.029099999999985
80,-0.25854743999999996,61.55891428571428
81,-0.23586784,56.15900952380952
82,-0.20865231999999997,74.5186857142857
83,-0.18597272,66.41882857142856
84,-0.16329311999999999,58.318971428571416
85,-0.14514943999999996,94.2528831168831
86,-0.12246984000000001,87.47845714285714
87,-0.09979024,71.27874285714284
88,-0.08164655999999999,116.63794285714283
89,-0.0680388,97.1982857142857
90,-0.0453592,64.79885714285714
91,-0.031751440000000006,45.3592
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.045359199999999995,64.79885714285713
110,0.06350288000000001,90.7184
111,0.08164656,116.63794285714286
112,0.09979024,71.4286
113,0.12246983999999998,87.47845714285712
114,0.14514944,103.67817142857142
115,0.17690087999999998,97.1982857142857
116,0.19958048,71.27874285714284
117,0.226796,80.99857142857142
118,0.26308336,93.95834285714284
119,0.29029888,69.11878095238094
120,0.32658623999999997,58.318971428571416
121,0.36287359999999996,64.79885714285713
122,0.39462504,64.06250649350649
123,0.42637647999999995,60.91092571428571
124,0.46266384,55.079028571428566
125,0.49895120000000004,50.91338775510205
126,0.53070264,54.1533306122449
127,0.57606184,51.43409285714285
128,0.62142104,49.319130158730154
129,0.64410064,46.00718857142857
130,0.68945984,49.24713142857143
131,0.7257472,43.931428571428576
132,0.7665704799999999,42.119257142857144
133,0.8255374400000001,44.00519402985074
134,0.84821704,40.39128761904762
135,0.88904032,39.689299999999996
136,0.9207917599999998,38.6887294117647
137,0.9661509599999999,38.33932380952381
138,0.9979024000000001,37.51512781954888
139,1.05233344,35.7936544217687
140,1.09315672,35.49210129870129
141,1.14305184,35.498504347826085
142,1.2020188,33.53847098214285
143,1.2337702400000001,31.473730612244903
144,1.27912944,31.50565123152709
145,1.32448864,30.51817142857143
146,1.36531192,30.475712499999993
147,1.4061352,29.540655462184873
148,1.4605662400000001,29.223014005602245
149,1.51046136,29.15948571428571
150,1.55128464,28.41180659340659
151,1.60571568,27.974140766550526
152,1.6510748800000001,27.362858468677494
153,1.71004184,27.08333607855559
154,1.7599369599999999,26.244213540113332
155,1.8143679999999998,25.919542857142854
156,1.85065536,25.42109010989011
157,1.9096223200000004,25.2595544973545
158,1.96405336,25.051701020408164
159,2.0048766400000004,24.69059901477833
160,2.0865232000000002,24.43235597189696
161,2.1182746400000005,24.016719274376417
162,2.1590979200000002,23.473558599695586
163,2.2452804,23.584878151260504
164,2.26796,22.816498993963783
165,2.34053472,22.592033976833974
166,2.4267172,22.394953857511997
167,2.50382784,22.10690305491789
168,2.5627948000000003,21.792472789115646
169,2.6353695200000002,21.636859770114945
170,2.6580491200000003,21.213480606544298
171,2.75783936,20.978543739540545
172,2.78051896,20.68838511904762
173,2.8803092,20.573637142857145
174,2.9347402400000004,20.351874063800274
175,2.9937072000000002,20.173229110512132
176,3.04813824,20.048265193370167
177,3.1297848,19.801245096798684
178,3.18875176,19.686083220150635
179,3.23411096,19.412430732292922
180,3.32482936,19.30795214866434
181,3.36111672,19.053949659863946
182,3.42008368,18.86422327633756
183,3.4926584,18.659356768885566
184,3.5652331200000003,18.56118867138692
185,3.62420008,18.307739341281067
186,3.68770296,18.166024433497537
187,3.76934952,17.99727616501146
188,3.8373883200000005,17.844997767857144
189,3.9235708000000002,17.637196799424615
190,3.9825377600000005,17.516439831104858
191,4.0278969600000005,17.20735201640465
192,4.10954352,17.08607816397805
193,4.15490272,16.81466094698503
194,4.21386968,16.64771523388117
195,4.30458808,16.504056744114713
196,4.38169872,16.40348427672956
197,4.422522,16.150021910604735
198,4.5087044800000005,16.046353761833583
199,4.52684816,15.936239386045203
200,4.5238242133333335,15.873364944364548
